Brand,City,Country,Email,Fax,Hours,House_Number,Latitude,Longitude,Name,Payment_Cash,Payment_Credit_Card,Payment_Debit_Card,Phone Number,Postal_Code,Province,Street,Website,Wheelchair
,Toronto,,,,24/7,9,43.6675553,-79.3850416,Rabba Fine Foods,,,,,M4Y 1M7,,Isabella Street,,
,,,,,24/7,,43.6681893,-79.3876367,Rabba Fine Foods,,,,,,,,,
Loblaws,Toronto,,,,Mo-Su 07:00-23:00,12,43.6885845,-79.3936836,Loblaws,yes,,,+1-416-960-8108,M4T 1L7,,St. Clair Avenue East,,
,,,,,,,43.6884125,-79.4124021,Kitchen Table,,,,,,,,,
,,,,,,,43.7231028,-79.4156880,Pusateri's Fine Foods,,,,,,,,,
,,,,,,,43.7366651,-79.4198561,Bruno's Foods,,,,,,,,,yes
No Frills,Toronto,,,,,1435,43.6368500,-79.4367770,No Frills,,,,,,,King Street West,,
,,,,,,,43.6728189,-79.2874631,Wholesome Market,,,,,,,,,
Bulk Barn,,,,,,,43.7086133,-79.2502870,Bulk Barn,,,,,,,,,
,,,,,,,43.7052158,-79.4425168,Zito's Market,,,,,,,,,
Sobeys,York,,,,,145,43.7036555,-79.4408534,Sobeys Urban Fresh,,,,+1-416-781-0145,,,Marlee Avenue,,
Food Basics,,,,,,,43.7460309,-79.2879377,Food Basics,,,,,,,,,
,Toronto,,,,,57,43.6710763,-79.3903190,Pusateri's,,,,,,,Yorkville Avenue,,
Sobeys,Toronto,,,,Mo-Su 07:00-23:00,22,43.6978473,-79.3955072,Sobeys Urban Fresh,,,,+1-416-485-1022,M4S 1C1,,Balliol Street,,yes
Sobeys,Toronto,,SBYEX701MGR@sobeys.com,,Mo-Su 07:00-23:00,710,43.7063795,-79.3896525,Sobeys Urban Fresh,,,,+1-416-483-1290,,,Mount Pleasant Road,,yes
FreshCo,,,,,,,43.6675471,-79.4408504,FreshCo,,,,,,,,,yes
Food Basics,,,,,,,43.7761811,-79.3248523,Food Basics,,,,,,,,,
,,,,,,,43.7893697,-79.2670092,Farm Fresh Supermarket,,,,,,,,,
,Toronto,,,,,100,43.6708968,-79.3845092,The Market by Longo's,yes,,,+1-416-922-4797,,,Bloor Street East,,yes
FreshCo,Toronto,,,,,325,43.6597135,-79.3656451,FreshCo,,,,+1-416-955-0717,,,Parliament Street,,
Whole Foods Market,Toronto,,,,Mo-Fr 09:00-22:00; Sa-Su 09:00-21:00,87,43.6720106,-79.3951861,Whole Foods Market,,,,+1-416-944-0500,M5R 3R9,,Avenue Road,,
,Toronto,,,,,1881,43.6976078,-79.3958347,Friends Fine Foods & Groceries,,,,,M4S 3C4,,Yonge Street,,yes
Valu-mart,North York,,,,,3259,43.7908435,-79.3919898,Valu-mart,,,,,,,Bayview Avenue,,
,,,,,,,43.6419126,-79.3754931,Kitchen Table,,,,,,,,,limited
,,,,,,,43.7889824,-79.2685434,Best Ever Supermarket,,,,,,,,,
,,,,,24/7,,43.6592764,-79.3756754,Rabba Fine Foods,,,,,,,,,
,Toronto,,,,,1170,43.6596607,-79.4371487,EconomyFruit,,,,,,,Bloor Street West,,
,,,,,,731,43.7305206,-79.2668040,Yogas Meat,,,,,,,Kennedy Road,,
,Toronto,,,,,100,43.6484877,-79.3821859,Longo's,,,,+1-416-304-1147,,,King Street West,,
,,,,,,,43.6742457,-79.4445815,Antonia Grocery,,,,,,,,,
,,,,,,,43.6755276,-79.4422899,Madeira Camara de Lobos Supermarket,,,,,,,,,
,,,,,,,43.6748739,-79.4443547,Via Italia Food Market,,,,,,,,,
,,,,,,,43.7321897,-79.2669376,Sankar International,,,,,,,,,
,,,,,,,43.7635305,-79.4111469,m2m Asian Grocery Store,,,,,,,,,
,,,,,,,43.6463657,-79.3879664,Marketplace,,,,,,,,,
,,,,,,,43.6703710,-79.3870790,Tea Market,,,,,,,,,
,Toronto,,,,,,43.6447790,-79.3869150,Marketplace,,,,,,,,,
,,,,,,,43.6446455,-79.3871543,Whole Health,,,,,,,,,
,,,,,,,43.7040620,-79.4096970,The Tea Emporium,,,,,,,,,
,,,,,,,43.6356761,-79.3987636,Harbour Green Farms,,,,,,,,,
,,,,,,,43.7083614,-79.3655124,Red Mulberry Natural Health Store,,,,,,,,,
,,,,,,,43.6666060,-79.3762330,Rabba Fine Foods,,,,,,,,,
,Toronto,,,,,2095,43.7028940,-79.3973490,Filipino Food Market,,,,+1-416-487-2813,,,Yonge Street,,
,,,,,,,43.7729690,-79.4419950,Tuong Phat Supermarket,,,,,,,,,
,North York,,,,,4750,43.7766394,-79.4696515,Coppa's Fresh Market,,,,+1-416-736-6606,M3H 5S7,,Dufferin Street,,
,,,,,,,43.8169644,-79.2108073,Taj Supermarket,,,,,,,,,
,,,,,,,43.8172129,-79.2112195,Sunrise Mark,,,,,,,,,
,,,,,,,43.8034580,-79.2927760,Chung Hing Supermarket,,,,+1-416-293-0188,,,,,
,,,,,,,43.7839700,-79.2045750,Young's Fruit Market,,,,,,,,,
Sobeys,Toronto,,,,Mo-Su 07:00-23:00,777,43.6603152,-79.3844864,Sobeys Urban Fresh,,,,+1-416-506-1626,,,Bay Street,,yes
FreshCo,,,,,,,43.6926868,-79.4657378,FreshCo,,,,,,,,,
,,,,,,,43.7821024,-79.1722060,Kingston Grocery,,,,,,,,,
Loblaws,,,,,Mo-Su 07:00-23:00,,43.6474912,-79.4015723,Loblaws,,,,,,,,,yes
No Frills,,,,,Mo-Sa 08:00-21:00; Su 08:00-20:00,200,43.6511181,-79.3663593,No Frills,,,,,,,Front Street East,,yes
,,,,,,,43.7445140,-79.2966432,P A T Market East,,,,,,,,,
,,,,,,,43.6737308,-79.4628416,D & S Grocery & Variety,,,,,,,,,
No Frills,,,,,,,43.6319159,-79.5191103,No Frills,,,,,,,,,
,Toronto,,fresh@marcheleos.com,,Mo-Fr 09:00-21:00; Sa-Su 10:00-18:00,181,43.7078840,-79.3919700,Marcheleo's Gourmet Marketplace,,,,+1-416-952-1100,,,Eglinton Avenue East,https://www.marcheleos.com/,yes
,Toronto,,,,,2863,43.6012071,-79.5025284,7 Sisters Food Market,,,,,,,Lake Shore Boulevard West,,
,East York,,,,,93,43.7064574,-79.3596014,Longo's,,,,,,,Laird Drive,,
Sobeys,,,,,,,43.6198537,-79.5239909,Sobeys,,,,,,,,,
,,,,,,,43.7920730,-79.4180130,Khorak Supermarket,,,,,,,,,
,Toronto,,,,,2563,43.7138570,-79.3996870,Summer's Best Fruits & Flowers,,,,+1-416-488-2932,,,Yonge Street,,
Bulk Barn,East York,,,,,91,43.7062136,-79.3604940,Bulk Barn,,,,,,,Laird Drive,,
,,,,,,,43.6474419,-79.3704003,Vital Planet Organic Food,,,,,,,,,yes
Bulk Barn,,,,,,,43.7267400,-79.3002277,Bulk Barn,,,,,,,,,
Food Basics,,,,,,,43.6768789,-79.4941913,Food Basics,,,,,,,,,
Foodland,North York,,,,24/7,107,43.7739640,-79.3401694,Foodland,,,,,,,Parkway Forest Drive,,
,Etobicoke,,,,Mo-Th 09:30-21:00; Fr 09:30-21:30; Sa 09:00-21:30; Su 09:30-20:30,2267,43.7166344,-79.5545106,Fresh Value,,,,+1-416-743-6699,M9W 3W7,,Islington Avenue,http://freshvalue.ca/,
,,,,,,,43.7108970,-79.3990474,Green Valley Products,,,,,,,,,
,,,,,,,43.7913157,-79.4443054,Price Chopper,,,,,,,,,
Sobeys,Toronto,,,,,22,43.6404855,-79.3942463,Sobeys,,,,+1-416-623-5111,,,Fort York Boulevard,,
Farm Boy,Etobicoke,,,,,841,43.6100852,-79.5475302,Farm Boy,,,,+1-416-253-9379,,,Brown's Line,https://www.farmboy.ca/locations/etobicoke-shoppes-alderwood/,
,,,,,,,43.6809350,-79.4719358,Wholesale Club,,,,,,,,,
,Scarborough,,,+1-416-431-3389,,3715,43.7606262,-79.2184152,Skyland Food Mart,,,,+1-416-431-3388,M1G 1P7,,Lawrence Avenue East,,
,Toronto,,plankroadmarket@gmail.com,,,1716,43.6843108,-79.3199899,Plank Road Market,,,,+1-416-463-5474,M4C 1H8,,Danforth Avenue,https://www.plankroadmarket.com/,
,Scarborough,,,,,250,43.8254466,-79.2771774,Oriental Food Mart,,,,,M1V 3Z4,,Alton Towers Circle,,
,East York,,,,,2,43.7059324,-79.3520440,Iqbal Halal Foods,,,,+1-416-467-0177,M4H 1H2,,Thorncliffe Park Drive,http://www.iqbalhalalfoods.com/,
,North York,,,,,865,43.7536755,-79.3493647,Galleria Marketplace,,,,+1-647-352-5004,M3B 1Y5,,York Mills Road,http://www.galleriasm.com/,
,Toronto,,,,,,43.7178080,-79.4291990,Tap Kosher Market,,,,,,,,,
,,,,,,,43.6801677,-79.4341222,JV Supermarket,,,,,,,,,
,,,,,,,43.6722464,-79.3214231,BJ Supermarket,,,,,,,,,
,Toronto,,,,,1980,43.6724214,-79.4701747,Nations Fresh Foods,,,,,,,St. Clair Avenue West,http://www.target.ca/,
,,,,,,,43.6593360,-79.5149010,Bruno's Foods,,,,,,,,http://www.brunosfinefoods.ca/,
,Scarborough,,,,,20,43.7291495,-79.2905685,Adonis,,,,+1-416-642-1515,,,Ashtonbee Road,,
,Scarborough,,,,Mo-Fr 08:00-24:00,1970,43.7305937,-79.2849601,Al Premium Food Mart,,,,+1-416-751-3666,M1L 2M6,,Eglinton Avenue East,http://www.alpremium.ca,
Bulk Barn,,,,,,,43.6500767,-79.3699913,Bulk Barn,,,,,,,,,yes
,,,,,09:00-12:00,335,43.8149718,-79.3223916,Foody Mart,,,,+1-416-490-9890,M1W 3Y1,,Bamburgh Circle,http://www.foodymart.com,
Whole Foods Market,North York,,,,,4771,43.7608195,-79.4104774,Whole Foods Market,,,,+1-416-730-1100,M2N 5M5,,Yonge Street,https://www.wholefoodsmarket.com/stores/yongeandsheppard,yes
Bulk Barn,,,,,,,43.6455958,-79.3936809,Bulk Barn,,,,,,,,,
,,,,,,,43.7962796,-79.2710304,Bestco Food Mart,,,,,,,,,
Bulk Barn,,,,,,,43.7854550,-79.4737722,Bulk Barn,,,,,,,,,
No Frills,Toronto,,,,Mo-Fr 08:00-21:30; Sa-Su 08:00-20:00,345,43.6716106,-79.3781127,No Frills,,,,,M4W 3J6,,Bloor Street East,,
,,,,,Su-Th 08:00-22:00; Fr-Sa 08:00-23:00,747,43.7144362,-79.3331597,Sunny Foodmart,,,,+1-416-900-1699,M3C 1T2,,Don Mills Road,,yes
No Frills,North York,,,,Mo-Su 08:00-21:00,3685,43.7541597,-79.4876884,No Frills,,,,,M3J 3H6,,Keele Street,,
,North York,,,,Mo-Su 08:00-21:00,3701,43.7551773,-79.4883549,Danforth Food Mart,,,,,M3J 1N1,,Keele Street,,
,Scarborough,,,,,1150,43.8004902,-79.2003631,Fusion Supermarket,,,,,M1B 3A4,,Morningside Avenue,,
,Scarborough,,,,,1145,43.8008914,-79.1984187,Gunams Supermarket,,,,,,,Morningside Avenue,,
,,,,,,,43.7400242,-79.5120930,Price Chopper,,,,,,,,,
,,,,,,11,43.6469377,-79.3911588,Champ's Food Supplies Ltd,,,,,,,Widmer Street,,
,,,,,Mo-Su 07:00-22:00,,43.6415625,-79.4152848,Independent CityMarket,,,,,,,,,
Metro,,,,,,,43.6231048,-79.4827082,Metro,,,,,,,,,
Bulk Barn,,,,,,,43.7116139,-79.5314839,Bulk Barn,,,,,,,,,
Food Basics,,,,,,,43.7701210,-79.1845116,Food Basics,,,,,,,,,
,Toronto,,,,,725,43.6607569,-79.4290306,Popbox MicroMarket,,,,+1-416-539-0215,,,Dovercourt Road,http://www.popboxmicromrkt.com/,yes
,,,,,,,43.6470368,-79.3789097,The Market by Longo's,,,,,,,,,yes
,,,,,,,43.7461503,-79.4873984,Asian Grocery,,,,,,,,,
,,,,,,,43.7388424,-79.5117315,Win Farm Supermarket,,,,,,,,,
,,,,,,,43.6475091,-79.3810245,Nutrition House,,,,,,,,,
Bulk Barn,,,,,,,43.7819453,-79.2922658,Bulk Barn,,,,,,,,,
,Toronto,,,,Mo-Fr 07:00-22:00; Sa-Su 07:00-20:00,111,43.6866521,-79.3999382,the market by Longo's,,,,+1-416-921-6108,,,St. Clair Avenue West,,
Food Basics,,,,,,,43.7924246,-79.2402785,Food Basics,,,,,,,,,yes
,,,,,,,43.6535740,-79.3944020,Lucky Moose Food Mart,,,,,,,,,
,,,,,,,43.7752297,-79.2654932,Dad's Cookie Outlet,,,,,,,,,
,,,,,,,43.6196015,-79.5509007,Blossom Pure Organic,,,,+1-905-891-2005,,,,https://blossompure.wordpress.com/,
,Toronto,,,,10:00-19:00,638,43.6790198,-79.3453131,The Bulk Food Emporium,,,,,M4C 1K9,,Danforth Avenue,,
,Toronto,,,,,607,43.6680266,-79.3692816,Yaris Super Store,,,,+1-416-923-9806,M4X 1P9,,Parliament Street,,
,Toronto,,,,,591,43.6676089,-79.3691722,Ambal Trading,,,,+1-416-928-6665,M4X 1P9,,Parliament Street,,yes
Loblaws,Toronto,,,,07:00-23:00,60,43.6620397,-79.3801385,Loblaws,,,,,M5B 1J2,,Carlton Street,,yes
,Toronto,,,,Mo-Fr 10:00-19:00; Sa 09:30-18:00; Su 12:00-17:00,489,43.6643125,-79.3678240,Lennie's Whole Foods,,,,+1-416-920-3777,M5A 3A3,,Parliament Street,,yes
,,,,,,,43.7645439,-79.4678185,Yummy Market,,,,,,,,http://yummymarket.com/,
No Frills,Toronto,,,,"Mo-Fr 08:00-09:00, Sa,Su 08:00-08:00",449,43.6634713,-79.3673789,No Frills,,,,,,,Parliament Street,,
,,,,,,,43.6575704,-79.3654115,Kabul Farms Supermarket,,,,,,,,,no
Bulk Barn,,,,,,,43.6766139,-79.3557694,Bulk Barn,,,,,,,,,
,Toronto,,,,,2192,43.6536038,-79.4510183,Baraka Halal Food,,,,+1-416-538-3516,M6R 1X3,,Dundas Street West,,
,,,,,,,43.7521097,-79.2601508,Top Food Fresh Mart,,,,,,,,,
Bulk Barn,Toronto,,,,,171,43.6380551,-79.4190063,Bulk Barn,,,,,,,East Liberty Street,,
Bulk Barn,,,,,,,43.7712351,-79.1843991,Bulk Barn,,,,,,,,,
Loblaws,Toronto,,,,,101,43.7072520,-79.3950342,Loblaws,,,,+1-416-489-7653,,,Eglinton Avenue East,,yes
Bulk Barn,,,,,,,43.7764623,-79.2629281,Bulk Barn,,,,,,,,,
,,,,,,,43.7339059,-79.2592499,Yal Market,,,,,,,,,
,,,,,,,43.7610083,-79.2241678,India Town,,,,,,,,,
,Scarborough,,,,,325,43.8144421,-79.3238055,Ben's Variety Store,,,,,M1W 3Y1,,Bamburgh Circle,,
,,,,,Mo-Su 08:00-22:00,301,43.6574620,-79.4015575,Independent CityMarket,,,,,,,College Street,,
,,,,,,,43.6908919,-79.2906480,Marhabah SuperMarket,,,,,,,,,
,,,,,,,43.7346290,-79.2565278,Sankanai Furniture,,,,,,,,,no
,Toronto,,,,Mo-Fr 10:00-19:00; Sa 10:00-18:00; Su 11:00-18:00,468,43.6656534,-79.4093404,Rowe Farms,,,,,M5S 1X8,,Bloor Street West,,
,Toronto,,talktous@yamchops.com,,Mo-Sa 11:00-19:00; Su 11:00-17:00,705,43.6550604,-79.4181407,Yam Chops,,,,+1-416-645-0117,M6G 1C2,,College Street,https://yamchops.com/,
Whole Foods Market,,,,,,1860,43.7140497,-79.3779615,Whole Foods Market,,,,,,,Bayview Avenue,,yes
,,,,,,,43.7534523,-79.2534560,"Bombay Foods Cash ""N"" Carry",,,,,,,,,
,,,,,,,43.7404061,-79.2331517,Shorebazaar Supermarket,,,,,,,,,
Metro,Toronto,,,,Mo-Su 08:00-22:00,1230,43.6427402,-79.4277124,Metro,,,,,,,Queen Street West,,
,,,,,,,43.6731641,-79.3195687,B.K. Natural Foods,,,,,,,,,
,Toronto,,,,,506,43.6478463,-79.4013857,Natural Foods,,,,+1-416-539-0459,M5V 2B3,,Queen Street West,qinaturalfood.com,yes
,,,,,,,43.7304005,-79.4193071,Ararat,,,,,,,,,
,,,,,,,43.6480134,-79.3928450,Independent CityMarket,,,,,,,,,
,,,,,Tu-We 08:00-18:00; Th-Fr 08:00-19:00; Sa 08:00-17:30; Su 08:00-14:00,249,43.7645464,-79.3959358,Mézes Mackó (Honey Bear),,,,+1-416-733-0022,,,Sheppard Avenue East,http://www.mezesmacko.com,
,,,,,Mo-Fr 10:00-19:00; Sa 09:00-18:00; Su 10:00-17:00,1335,43.7406777,-79.3207066,Mak European Delicatessens,,,,+1-416-444-0719,M3A 1C6,,Lawrence Avenue East,http://cevapi.org,
,,,,,Mo-Fr 09:30-21:00; Sa 09:30-19:00; Su 11:00-18:00,513,43.6828753,-79.4187832,Evergreen Natural Foods,,,,+1-416-536-2932,M6C 1A1,,St. Clair Avenue West,,
,,,,,,,43.7227468,-79.4980559,Santo Fine Meat & Deli,,,,,,,,,
,,,,,,,43.7195884,-79.5115035,Blue Sky Supermarket,,,,,,,,,
,,,,,,,43.7639064,-79.3990762,Ava Esfahan Food Market,,,,,,,,,
,North York,,,,24/7,12,43.7579857,-79.4094981,Rabba Fine Foods,,,,+1-416-250-0005,M2N 7G4,,Harrison Garden Boulevard,,
,Toronto,,,,,1033,43.6687891,-79.3369521,Philippine Oriental Food Market,,,,+1-416-466-6938,,,Gerrard Street East,,yes
,Toronto,,,,,2409,43.7105134,-79.3986923,Village Juicery,,,,+1-647-348-2409,M4P 2E7,,Yonge Street,https://www.villagejuicery.com/,yes
,Toronto,,,,,147,43.6614997,-79.4492733,Wallace Market,,,,+1-416-532-6858,M6P 3W5,,Symington Avenue,,yes
,Toronto,,,,,176,43.6521132,-79.3795870,Saks Food Hall,,,,,,,Yonge Street,https://www.pusateris.com/,
,Etobicoke,,,,,977,43.7360856,-79.5636656,Samirmis Supermarket,,,,+1-416-741-4729,M9V 1A6,,Albion Road,,no
,Etobicoke,,,,,1176,43.7380972,-79.5682343,Prasad Caribbean Oriental Specialty Foods Inc,,,,+1-416-748-9822,M9V 1A8,,Albion Road,,no
,,,,,,,43.6542154,-79.4001107,Little Green Planet - Bulk Organic Groceries,,,,,,,,,
,,,,,,,43.7252902,-79.4026110,Independent CityMarket,,,,,,,,,
,,,,,,,43.6647991,-79.3846966,Galleria Supermarket Express,,,,,,,,,
,North York,,,,Mo-Su 08:00-02:00,15,43.7792385,-79.4170341,Joy Mart,,,,,M2N 7K4,,Finch Avenue West,,
,Toronto,,,,"Mo-Fr 09:00-21:00, Sa 09:00-20:00, Su 10:00-18:00; PH off",42,43.6392664,-79.4200024,Organic Garage,,,,,,,Hanna Avenue,,
,Toronto,,,,,253,43.6521389,-79.3973987,Kai Wei Supermarket,,,,+1-416-977-8597,,,Spadina Avenue,,
,Toronto,,,,,111,43.6464772,-79.4194975,Fresh City Farms,,,,,,,Ossington Avenue,,
Food Basics,Toronto,,,,,5559,43.6294312,-79.5505171,Food Basics,,,,+1-416-231-5475,,,Dundas Street West,,
,Toronto,,,,,135,43.6432145,-79.4476667,Benna's,,,,,,,Roncesvalles Avenue,,
