Alt_Name,Brand,City,Country,Dispensing,Email,Fax,Hours,House_Number,ID,Latitude,Longitude,Name,Payment_Cash,Payment_Credit_Card,Payment_Debit_Card,Phone Number,Postal_Code,Province,Street,Website,Wheelchair,geometry
Welcome Guardian Drugstore,Guardian,Toronto,,yes,,,,137,251231340,43.6433233,-79.4477035,Guardian,,,,+1-416-533-2088,,,Roncesvalles Avenue,https://www.guardian-ida-pharmacies.ca/en/ontario/toronto/welcome-pharmacy-7024541,,POINT (-79.4477035 43.6433233)
,,,,yes,,,,,251246416,43.6513738,-79.4511698,Margis Pharmacy,,,,,,,,,,POINT (-79.4511698 43.6513738)
,Guardian,Toronto,,yes,,,,1488,251250133,43.6405305,-79.4376318,Parkdale Guardian Drugs,,,,+1-416-533-2391,,,Queen Street West,,,POINT (-79.43763180000001 43.6405305)
,,,,yes,,,,1386,252170640,43.6413261,-79.4336402,Dunn Pharmacy,,,,,,,Queen Street West,,,POINT (-79.4336402 43.6413261)
,Shoppers Drug Mart,Toronto,,yes,,,24/7,465,253941150,43.6615734,-79.3829277,Shoppers Drug Mart,,,,,,,Yonge Street,http://www.shoppersdrugmart.ca/,yes,POINT (-79.3829277 43.6615734)
,Rexall,Toronto,,,,,,481,261714581,43.6657861,-79.4071749,Rexall,,,,,,,Bloor Street West,,,POINT (-79.4071749 43.6657861)
,Shoppers Drug Mart,,,yes,,,Mo-Sa 08:00-24:00; Sa 09:00-24:00,,264107452,43.6895984,-79.2898134,Shoppers Drug Mart,,,,,,,,http://www.shoppersdrugmart.ca/,yes,POINT (-79.2898134 43.6895984)
,Shoppers Drug Mart,,,yes,,,,,265014980,43.7488552,-79.2762981,Shoppers Drug Mart,,,,,,,,http://www.shoppersdrugmart.ca/,,POINT (-79.27629810000001 43.7488552)
,,,,yes,,,,,266540038,43.7079062,-79.3107881,Main Drug Mart,,,,,,,,,,POINT (-79.3107881 43.7079062)
,,,,yes,,,,,266540039,43.7077635,-79.3108911,Golden Gate Pharmacy,,,,,,,,,,POINT (-79.31089110000001 43.7077635)
,Shoppers Drug Mart,,,yes,,,,,266540291,43.7058898,-79.3128137,Shoppers Drug Mart,,,,,,,,http://www.shoppersdrugmart.ca/,,POINT (-79.31281370000001 43.7058898)
,Shoppers Drug Mart,Toronto,,yes,,,until 22:00,700,267314142,43.6583076,-79.3850092,Shoppers Drug Mart,,,,,,,Bay Street,http://www.shoppersdrugmart.ca/,yes,POINT (-79.3850092 43.6583076)
,Shoppers Drug Mart,Toronto,,yes,,,,390,267316678,43.6381429,-79.3907469,Shoppers Drug Mart,,,,,,,Queens Quay West,http://www.shoppersdrugmart.ca/,,POINT (-79.3907469 43.6381429)
Poonam Rx Limited,Shoppers Drug Mart,Toronto,,yes,,,,69,273325247,43.6490790,-79.3776658,Shoppers Drug Mart,,,,+1-416-364-1948,M5E 1K3,,Yonge Street,http://www.shoppersdrugmart.ca/,,POINT (-79.3776658 43.649079)
,,Toronto,,yes,,,,688,277040109,43.6826792,-79.3235042,Coxwell Pharmacy,,,,+1-416-466-2131,,,Coxwell Avenue,,,POINT (-79.3235042 43.6826792)
Rexall I.D.A. Stanbury's Pharmacy,I.D.A.,,,yes,,,,,277140083,43.6896014,-79.3490638,I.D.A.,,,,,,,,,yes,POINT (-79.3490638 43.6896014)
,Shoppers Drug Mart,,,yes,,,,,277707108,43.6571735,-79.3885985,Shoppers Drug Mart,,,,,,,,http://www.shoppersdrugmart.ca/,,POINT (-79.3885985 43.6571735)
,,,,yes,,,,,278103207,43.6894149,-79.2969551,Main Drug Mart,,,,,,,,,,POINT (-79.29695510000001 43.6894149)
,,Toronto,,yes,,,Mo-Fr 09:00-20:00; Sa 12:00-17:00; Su 12:00-17:00; PH 10:00-14:00,2556,278103213,43.6883066,-79.3016466,Main Drug Mart,,,,,,,Danforth Avenue,,,POINT (-79.3016466 43.6883066)
,Shoppers Drug Mart,Toronto,,yes,,,,728,280495838,43.6685579,-79.3862638,Shoppers Drug Mart,,,,,,,Yonge Street,http://www.shoppersdrugmart.ca/,,POINT (-79.38626379999999 43.6685579)
,,,,yes,,,,,281141211,43.7140115,-79.2984546,Victoria Park Pharmacy,,,,,,,,,,POINT (-79.2984546 43.7140115)
,,,,,,,,,281143197,43.7092928,-79.2963796,Main Drug Mart,,,,,,,,,,POINT (-79.29637959999999 43.7092928)
Guardian Drugs Greendale,Guardian,Toronto,,yes,,,,150,281361616,43.6629780,-79.3746328,Guardian,,,,,,,Carlton Street,,no,POINT (-79.3746328 43.662978)
,,,,,,,,,281666264,43.6483960,-79.3706949,Main Drug Mart,,,,,,,,,yes,POINT (-79.3706949 43.648396)
,Rexall,Toronto,,yes,,,Mo-Su 07:00-22:00,159,281669588,43.6519511,-79.3788871,Rexall,,,,,,,Yonge Street,https://www.rexall.ca/storelocator/store/8161,,POINT (-79.3788871 43.6519511)
,,,,yes,,,,,281924173,43.6617689,-79.3671320,Parliament Pharmacy,,,,,,,,,,POINT (-79.367132 43.6617689)
,Shoppers Drug Mart,,,yes,,,,,288057885,43.7033920,-79.4153114,Shoppers Drug Mart,,,,,,,,http://www.shoppersdrugmart.ca/,,POINT (-79.41531139999999 43.703392)
,,Toronto,,yes,,,,412,295326047,43.6860757,-79.3763473,Marshall's Drugs,,,,,,,Summerhill Avenue,,,POINT (-79.37634730000001 43.6860757)
,Shoppers Drug Mart,,,yes,,,,,297103243,43.7986188,-79.3688075,Shoppers Drug Mart,,,,,,,,http://www.shoppersdrugmart.ca/,,POINT (-79.3688075 43.7986188)
,Shoppers Drug Mart,,,yes,,,,,297113369,43.8047218,-79.3846871,Shoppers Drug Mart,,,,,,,,http://www.shoppersdrugmart.ca/,,POINT (-79.38468709999999 43.8047218)
,Rexall,,,yes,,,,,302045077,43.7940907,-79.3531857,Rexall,,,,,,,,,,POINT (-79.3531857 43.7940907)
,Rexall,,,yes,,,,,306328623,43.6718397,-79.3782930,Rexall,,,,,,,,,,POINT (-79.378293 43.6718397)
,Rexall,East York,,yes,,,Mo-Su 08:00-24:00,660,315643442,43.7116330,-79.3762585,Rexall,,,,,,,Eglinton Avenue East,,,POINT (-79.37625850000001 43.711633)
,Shoppers Drug Mart,,,yes,,,Mo-Fr 08:00-22:00; Sa 09:00-20:00; Su 10:00-18:00,,339530268,43.7561010,-79.4395380,Shoppers Drug Mart,,,,,,,,http://www.shoppersdrugmart.ca/,,POINT (-79.439538 43.756101)
,Shoppers Drug Mart,,,yes,,,,,357059433,43.7890115,-79.1397735,Shoppers Drug Mart,,,,,,,,http://www.shoppersdrugmart.ca/,,POINT (-79.1397735 43.7890115)
,Shoppers Drug Mart,,,yes,,,,,359213024,43.7236686,-79.3004631,Shoppers Drug Mart,,,,,,,,,,POINT (-79.3004631 43.7236686)
,,York,,yes,,,,265,364937883,43.6776938,-79.5061934,Main Drug Mart,,,,,,,Scarlett Road,,,POINT (-79.5061934 43.6776938)
,,York,,yes,,,,2160,364946860,43.7028963,-79.5254399,Main Drug Mart,,,,,,,Weston Road,,,POINT (-79.52543989999999 43.7028963)
,,,,yes,,,,,368125826,43.7031949,-79.5249106,Weston Drug Mart,,,,,,,,,,POINT (-79.5249106 43.7031949)
,,,,yes,,,,,369046197,43.6966160,-79.2862551,DiscountPlus Pharmacy,,,,,,,,,,POINT (-79.28625510000001 43.696616)
,Shoppers Drug Mart,,,yes,,,-22:00,,371730613,43.7995275,-79.3191843,Shoppers Drug Mart,,,,,,,,http://www.shoppersdrugmart.ca/,,POINT (-79.3191843 43.7995275)
,,,,yes,,,,,372475890,43.6877052,-79.3019129,Peoples Drug Mart,,,,,,,,,,POINT (-79.3019129 43.6877052)
,Guardian,,,yes,,,,,379632548,43.7798913,-79.1371989,Guardian,,,,,,,,,,POINT (-79.1371989 43.7798913)
,,,,yes,,,,,380027348,43.6720554,-79.3769315,Bloor-Sherbourne Pharmacy,,,,,,,,,,POINT (-79.3769315 43.6720554)
,,,,yes,,,,,380027357,43.6715127,-79.3766812,Rosedale Pharmacy,,,,,,,,,,POINT (-79.37668119999999 43.6715127)
,,,,yes,,,,,380036466,43.6646930,-79.3740248,Main Drug Mart,,,,,,,,,no,POINT (-79.3740248 43.664693)
,,,,yes,,,Mo-Fr 09:00-18:00,,380037489,43.6613624,-79.3720395,pharmacy.ca,,,,,,,,,yes,POINT (-79.3720395 43.6613624)
,Shoppers Drug Mart,,,yes,,,,,380042647,43.6460021,-79.3798608,Shoppers Drug Mart,,,,,,,,http://www.shoppersdrugmart.ca/,,POINT (-79.3798608 43.6460021)
,Shoppers Drug Mart,,,yes,,,,,382849927,43.7606953,-79.2241012,Shoppers Drug Mart,,,,,,,,http://www.shoppersdrugmart.ca/,,POINT (-79.22410120000001 43.7606953)
,Rexall,,,,,,,,382850109,43.7754149,-79.2307035,Rexall,,,,,,,,,,POINT (-79.2307035 43.7754149)
Jerry Ip Pharmacy Inc.,Shoppers Drug Mart,Scarborough,,yes,,,,1780,382893105,43.7944521,-79.2399838,Shoppers Drug Mart,,,,+1-416-412-1780,M1B 2W2,,Markham Road,http://www.shoppersdrugmart.ca/,yes,POINT (-79.2399838 43.7944521)
,Shoppers Drug Mart,East York,,yes,,,,1012,382981181,43.6887601,-79.3487159,Shoppers Drug Mart,,,,+1-416-423-3131,,,Pape Avenue,http://www.shoppersdrugmart.ca/,yes,POINT (-79.3487159 43.6887601)
,Shoppers Drug Mart,Etobicoke,,yes,asdm893@shoppersdrugmart.ca,+1-416-236-0384,"Mo-Fr 09:00-21:00, Sa 09:00-18:00, Su 10:00-19:00",201,383562241,43.6754984,-79.5558530,Shoppers Drug Mart,,,,+1-416-236-1131,M9B 6H6,,Lloyd Manor Road,http://www.shoppersdrugmart.ca/,,POINT (-79.555853 43.6754984)
,Rexall,Etobicoke,,yes,,+1-416-248-4209,Mo-Fr 08:00-22:00; Sa 09:00-22:00; Su 10:00-22:00,250,383562271,43.6797074,-79.5463636,Rexall,,,,+1-416-248-1735,M9R 2R5,,Wincott Drive,http://www.rexall.ca,,POINT (-79.54636360000001 43.6797074)
,,,,yes,,,,,383629881,43.6808231,-79.4971884,Janedal Pharmacy,,,,,,,,,,POINT (-79.4971884 43.6808231)
,,,,yes,,,,,383629946,43.6907522,-79.4731101,Medicine Shoppe,,,,,,,,,,POINT (-79.4731101 43.6907522)
,Shoppers Drug Mart,,,yes,,,,,383629968,43.6930575,-79.4660156,Shoppers Drug Mart,,,,,,,,http://www.shoppersdrugmart.ca/,,POINT (-79.46601560000001 43.6930575)
,,Scarborough,,yes,,,Mo-Fr 09:00-21:00; Sa 09:00-18:00; Su 11:00-18:00; PH off,2650,384785088,43.7524393,-79.2647412,Torrance Compounding Pharmacy,,,,,,,Lawrence Avenue East,,,POINT (-79.2647412 43.7524393)
,,,,yes,,,,,384791116,43.7565178,-79.2240055,Markham-Lawrence Pharmacy,,,,,,,,,,POINT (-79.2240055 43.7565178)
,Shoppers Drug Mart,,,yes,,,,,384801260,43.7547942,-79.2448736,Shoppers Drug Mart,,,,,,,,http://www.shoppersdrugmart.ca/,,POINT (-79.24487360000001 43.7547942)
,,,,yes,,,,,385602561,43.6854538,-79.3130732,Main Drug Mart,,,,,,,,,,POINT (-79.31307320000001 43.6854538)
,,,,yes,,,,,385602630,43.6802273,-79.3451365,Pape Drug Mart,,,,,,,,,,POINT (-79.3451365 43.6802273)
Mary-Gergis Pharmacy Inc.,,Toronto,,yes,,,,728,387429799,43.6637371,-79.4181475,Bloor Park Pharmacy,,,,+1-416-531-2426,,,Bloor Street West,,,POINT (-79.4181475 43.6637371)
,,Toronto,,,,,,620,387452798,43.6646161,-79.4141167,Green Pharmacy,,,,+1-416-530-4004,,,Bloor Street West,,,POINT (-79.41411669999999 43.6646161)
,Shoppers Drug Mart,,,yes,,,24/7,,387788663,43.7728212,-79.2511862,Shoppers Drug Mart,,,,,,,,http://www.shoppersdrugmart.ca/,,POINT (-79.25118620000001 43.7728212)
,Shoppers Drug Mart,East York,,yes,,,Mo-Sa 09:00-24:00; Su 10:00-24:00,45,387790719,43.7060565,-79.3465823,Shoppers Drug Mart,,,,,,,Overlea Boulevard,http://www.shoppersdrugmart.ca/,yes,POINT (-79.34658229999999 43.7060565)
,Shoppers Drug Mart,,,yes,,,,,387792390,43.7135867,-79.3346877,Shoppers Drug Mart,,,,,,,,http://www.shoppersdrugmart.ca/,yes,POINT (-79.3346877 43.7135867)
,,,,yes,,,,,388379010,43.7782794,-79.3479124,Fairview Pharmacy,,,,+1-416-497-5115,,,,,,POINT (-79.3479124 43.7782794)
,Shoppers Drug Mart,,,yes,,,,,388480633,43.6568051,-79.3807008,Shoppers Drug Mart,,,,,,,,http://www.shoppersdrugmart.ca/,,POINT (-79.3807008 43.6568051)
,Shoppers Drug Mart,,,yes,,,,,390077308,43.7693093,-79.3857332,Shoppers Drug Mart,,,,,,,,http://www.shoppersdrugmart.ca/,,POINT (-79.3857332 43.7693093)
,Shoppers Drug Mart,North York,,yes,,,,946,390354860,43.7372109,-79.3456392,Shoppers Drug Mart,,,,,,,Lawrence Avenue East,http://www.shoppersdrugmart.ca/,yes,POINT (-79.34563919999999 43.7372109)
,Shoppers Drug Mart,Toronto,,yes,,,,,390997486,43.6469942,-79.3791929,Shoppers Drug Mart,,,,,,,,http://www.shoppersdrugmart.ca/,yes,POINT (-79.37919290000001 43.6469942)
Tailor Drugs Limited,Shoppers Drug Mart,Toronto,,yes,,,"Mo-We 08:00-21:00; Th,Fr 08:00-22:00; Sa 10:00-19:30; Su 10:00-18:00",20,391178894,43.6707950,-79.3858923,Shoppers Drug Mart,yes,,,+1-416-967-7787,M4W 3G7,,Bloor Street East,http://www.shoppersdrugmart.ca/,yes,POINT (-79.38589229999999 43.670795)
,Shoppers Drug Mart,Toronto,,yes,,,,351,397259040,43.6554147,-79.3640509,Shoppers Drug Mart,,,,,,,Queen Street East,http://www.shoppersdrugmart.ca/,,POINT (-79.3640509 43.6554147)
,,Toronto,,yes,,,,599,400705146,43.6679184,-79.3692424,Main Drug Mart,,,,+1-416-960-1616,M4X 1P9,,Parliament Street,,yes,POINT (-79.3692424 43.6679184)
,Rexall,Toronto,,yes,,,08:00-22:00,539,400705354,43.6660203,-79.3684761,Rexall,,,,+1-416-926-1658,M4X 1P7,,Parliament Street,http://www.rexall.ca/,,POINT (-79.3684761 43.6660203)
,Shoppers Drug Mart,,,yes,,,Mo-Sa 09:00-00:00; Su 11:00-00:00,467,400705663,43.6639589,-79.3676519,Shoppers Drug Mart,,,,+1-416-925-4121,,,Parliament Street,http://www.shoppersdrugmart.ca/,,POINT (-79.3676519 43.6639589)
I.D.A. Moss Park Pharmacy,I.D.A.,,,yes,,,,,400912559,43.6551998,-79.3653800,I.D.A.,,,,,,,,,,POINT (-79.36538 43.6551998)
Bathurst & Bloor Drug Mart,I.D.A.,,,yes,,,,,409184324,43.6654831,-79.4115243,I.D.A.,,,,,,,,,,POINT (-79.4115243 43.6654831)
,,,,yes,,,,,410800085,43.7735040,-79.4421659,Main Drug Mart,,,,,,,,,,POINT (-79.44216590000001 43.773504)
,Shoppers Drug Mart,,,yes,,,,,414610855,43.6630445,-79.5317333,Shoppers Drug Mart,,,,,,,,,,POINT (-79.5317333 43.6630445)
,Rexall,,,yes,,,,,417218226,43.6019808,-79.5456039,Rexall,,,,,,,,http://www.rexall.ca/,,POINT (-79.5456039 43.6019808)
,Shoppers Drug Mart,Toronto,,yes,,,Mo-Fr 09:00-21:00; Sa 10:30-18:00; Su 11:00-16:00,755,420542915,43.6792629,-79.3422668,Shoppers Drug Mart,,,,,,,Danforth Avenue,http://www.shoppersdrugmart.ca/,,POINT (-79.3422668 43.6792629)
,Shoppers Drug Mart,,,yes,,,,,421328760,43.7452151,-79.3249607,Shoppers Drug Mart,,,,,,,,http://www.shoppersdrugmart.ca/,,POINT (-79.32496070000001 43.7452151)
,,,,,,,,,423775537,43.7264448,-79.3126967,Phil-way Pharmacy,,,,,,,,,,POINT (-79.3126967 43.7264448)
,Pharmasave,,,,,,,,433542282,43.7070444,-79.2695459,Pharmasave,,,,,,,,,no,POINT (-79.2695459 43.7070444)
,Food Basics,,,,,,,,436893990,43.7841944,-79.2034768,Food Basics,,,,,,,,,,POINT (-79.2034768 43.7841944)
,Shoppers Drug Mart,,,yes,,,,,436913949,43.7973370,-79.2722887,Shoppers Drug Mart,,,,,,,,http://www.shoppersdrugmart.ca/,,POINT (-79.2722887 43.797337)
,Shoppers Drug Mart,,,yes,,,,1840,474960384,43.6957415,-79.4508704,Shoppers Drug Mart,,,,,,,Eglinton Avenue West,http://www.shoppersdrugmart.ca/,,POINT (-79.4508704 43.6957415)
Bathurst Wilson Pharmacy,I.D.A.,North York,,yes,,,,322,474965118,43.7371248,-79.4367567,I.D.A.,,,,,M3H 1S8,,Wilson Avenue,,,POINT (-79.4367567 43.7371248)
,Shoppers Drug Mart,,,yes,,,,,474967384,43.7848113,-79.4461444,Shoppers Drug Mart,,,,,,,,http://www.shoppersdrugmart.ca/,,POINT (-79.44614439999999 43.7848113)
Welcome Guardian Drugs,Guardian,Toronto,,,,,Mo-Fr 08:30-21:00; Sa 09:00-18:00; Su 10:00-17:00; PH 10:00-17:00,1881,491599547,43.6978978,-79.3963032,Guardian,,,,+1-416-480-1420;+1-416-480-1340 (post office),M4S 3C0,,Yonge Street,,,POINT (-79.39630320000001 43.6978978)
,I.D.A.,,,,,,,,495885697,43.7468096,-79.1994060,I.D.A.,,,,,,,,,,POINT (-79.199406 43.7468096)
,Guardian,,,yes,,,,,502030805,43.6801003,-79.4322785,Guardian,,,,,,,,,,POINT (-79.4322785 43.6801003)
,,,,yes,,,,,502086091,43.6798317,-79.4354650,,,,,,,,,,,POINT (-79.43546499999999 43.6798317)
,Guardian,,,,,,,,502704878,43.6814890,-79.4259270,Christie Guardian Pharmacy,,,,,,,,,,POINT (-79.425927 43.681489)
,,Toronto,,yes,,,,3016,515553366,43.6655900,-79.4699454,Junction Pharmacy,,,,,,,Dundas Street West,,,POINT (-79.4699454 43.66559)
,Rexall,North York,,yes,,,,3402,517226084,43.7330121,-79.4044708,Rexall,,,,+1-416-544-0746,M4N 2M9,,Yonge Street,https://www.rexall.ca/,,POINT (-79.4044708 43.7330121)
,,,,,,,,,519728535,43.6515047,-79.3805592,Pharmamart,,,,,,,,,,POINT (-79.38055919999999 43.6515047)
,Shoppers Drug Mart,,,yes,,,24/7,2428,525155800,43.7330733,-79.2676115,Shoppers Drug Mart,,,,,,,Eglinton Avenue East,http://www.shoppersdrugmart.ca/,,POINT (-79.2676115 43.7330733)
,,Toronto,,,,,,1169,527025701,43.6492467,-79.4216560,Main Drug Mart,,,,+1-416-536-2139,,,Dundas Street West,,yes,POINT (-79.421656 43.6492467)
,,,,,,,,,530275125,43.7700821,-79.3748531,The Medicine Shoppe,,,,,,,,,,POINT (-79.3748531 43.7700821)
,,Toronto,,,,,,149,530802429,43.6438423,-79.4479194,Solarski,,,,,,,Roncesvalles Avenue,,,POINT (-79.4479194 43.6438423)
,Rexall,,,yes,,,,,534453408,43.7071726,-79.3987002,Rexall,,,,,,,,,limited,POINT (-79.39870019999999 43.7071726)
,I.D.A.,,,yes,,,,,538151391,43.7074398,-79.3958787,I.D.A.,,,,,,,,,yes,POINT (-79.3958787 43.7074398)
,Shoppers Drug Mart,Toronto,,yes,,,,1507,538159933,43.6893355,-79.3943034,Shoppers Drug Mart,,,,+1-416-923-7700,M4T 1Z2,,Yonge Street,http://www.shoppersdrugmart.ca/,,POINT (-79.3943034 43.6893355)
,Shoppers Drug Mart,Toronto,,yes,,,Mo-Su 08:00-24:00,970,538717619,43.6611728,-79.3403801,Shoppers Drug Mart,,,,,,,Queen Street East,,,POINT (-79.3403801 43.6611728)
,Pharmasave,,,yes,,,,,540294863,43.7576656,-79.4091183,Pharmasave,,,,,,,,,,POINT (-79.4091183 43.7576656)
,Guardian,,,yes,,,,,540923959,43.7716651,-79.2093729,Guardian,,,,,,,,,,POINT (-79.20937290000001 43.7716651)
,Shoppers Drug Mart,,,yes,,,,,542005028,43.7253490,-79.2306562,Shoppers Drug Mart,,,,,,,,http://www.shoppersdrugmart.ca/,yes,POINT (-79.2306562 43.725349)
,Pharmasave,,,,,,,,542024065,43.7376741,-79.2173068,Pharmasave,,,,,,,,,,POINT (-79.2173068 43.7376741)
,Rexall,North York,,yes,,,,5650,542892014,43.7805898,-79.4161656,Rexall,,,,+1-416-733-2661,,,Yonge Street,,,POINT (-79.4161656 43.7805898)
,Shoppers Drug Mart,,,yes,,,-00:00,,542893739,43.7849377,-79.3098593,Shoppers Drug Mart,,,,,,,,http://www.shoppersdrugmart.ca/,,POINT (-79.3098593 43.7849377)
,Shoppers Drug Mart,North York,,yes,,,,2047,544671706,43.7363090,-79.4198481,Shoppers Drug Mart,,,,,,,Avenue Road,http://www.shoppersdrugmart.ca/,yes,POINT (-79.4198481 43.736309)
,Rexall,,,yes,,,,,551067781,43.7085890,-79.2486991,Rexall,,,,,,,,,,POINT (-79.2486991 43.708589)
,I.D.A.,,,,,,,,553539464,43.7901327,-79.1743376,I.D.A.,,,,,,,,,,POINT (-79.1743376 43.7901327)
,Remedy'sRx,Toronto,,,,,Mo-Sa 09:30-19:00; Su closed,2262,557784672,43.6509097,-79.4779829,Remedy'sRx,,,,,,,Bloor Street West,,,POINT (-79.4779829 43.6509097)
,Pharmasave,,,,,,,,558628285,43.6890819,-79.3487977,Pharmasave,,,,,,,,,,POINT (-79.34879770000001 43.6890819)
,Guardian,,,yes,,,,,560196734,43.7057407,-79.4420802,Guardian,,,,,,,,,,POINT (-79.44208020000001 43.7057407)
,,,,yes,,,,,560634454,43.6890485,-79.2782119,Main Drug Mart,,,,,,,,,,POINT (-79.2782119 43.6890485)
,,Toronto,,yes,,,,219,560635542,43.6747361,-79.3955795,Davenport Pharmacy,,,,,,,Davenport Road,,,POINT (-79.3955795 43.6747361)
,Shoppers Drug Mart,Toronto,,yes,,,24/7,2345,560649252,43.7088320,-79.3985216,Shoppers Drug Mart,,,,,,,Yonge Street,http://www.shoppersdrugmart.ca/,yes,POINT (-79.3985216 43.708832)
,,Toronto,,yes,,,,2399-2401,560649253,43.7101286,-79.3989111,Main Drug Mart,,,,,,,Yonge Street,,,POINT (-79.39891110000001 43.7101286)
,Pharmasave,North York,,,,,,4430,560655298,43.7571237,-79.4391758,Pharmasave,,,,,,,Bathurst Street,,,POINT (-79.4391758 43.7571237)
,,North York,,yes,,,,491,561037787,43.7192148,-79.4288823,Peoples Drug Mart,,,,,,,Lawrence Avenue West,,,POINT (-79.4288823 43.7192148)
,,,,yes,,,,,561044366,43.7806000,-79.4154489,North York Pharmacy,,,,,,,,,,POINT (-79.4154489 43.7806)
,,,,yes,,,,,561181498,43.7471346,-79.2851653,Extra Care Pharmacy,,,,,,,,,,POINT (-79.2851653 43.7471346)
,Food Basics,,,yes,,,,,561181501,43.7460309,-79.2879377,Food Basics,,,,,,,,,,POINT (-79.2879377 43.7460309)
,,,,yes,,,,,565571303,43.7474882,-79.2871885,Main Drug Mart,,,,,,,,,,POINT (-79.2871885 43.7474882)
,Remedy'sRx,Toronto,,yes,,,,901,580001851,43.6632925,-79.3863346,Remedy'sRx,,,,,,,Bay Street,,,POINT (-79.3863346 43.6632925)
,Rexall,,,,,,,,607996558,43.7646003,-79.3980471,Rexall,,,,,,,,,,POINT (-79.3980471 43.7646003)
,Food Basics,,,,,,,,615954940,43.7761811,-79.3248523,Food Basics,,,,,,,,,,POINT (-79.3248523 43.7761811)
,,Toronto,,yes,,,Mo-Fr 08:00-19:00,123,616949398,43.6557636,-79.3864328,Victor Pharmacy,,,,+1-416-597-0366,M5G 1E2,,Edward Street,,,POINT (-79.38643279999999 43.6557636)
,Shoppers Drug Mart,,,yes,,,,,618404742,43.7838799,-79.2895238,Shoppers Drug Mart,,,,,,,,http://www.shoppersdrugmart.ca/,,POINT (-79.2895238 43.7838799)
