Brand,Capacity,Car_Wash,City,Country,Email,Fuel_Diesel,Fuel_Octane_91,Fuel_Octane_95,Fuel_Octane_98,Full_Service,Hours,House_Number,ID,Latitude,Longitude,Name,Operator,Payment_Cash,Phone Number,Postal_Code,Province,Self_Service,Street,Website,geometry
,,,,,,yes,,,,,,,2229206398,43.7757072,-79.1756556,Esso,,,,,,,,,POINT (-79.1756556 43.7757072)
Petro-Canada,,,,,,,,,,,,,2250796752,43.6155705,-79.5239147,Petro-Canada,,,,,,,,,POINT (-79.52391470000001 43.6155705)
Shell,,,North York,,,,,,,,,1570,2293160758,43.7212622,-79.5090066,Shell,,,,,,,Wilson Avenue,,POINT (-79.50900660000001 43.7212622)
Shell,,,,,,,,,,,,,2340975235,43.6428183,-79.5766656,Shell,,,,,,,,,POINT (-79.5766656 43.6428183)
Petro-Canada,,,North York,,,,,,,,,2821,2375265492,43.7200363,-79.5371437,Petro-Canada,,,,,,,Weston Road,,POINT (-79.5371437 43.7200363)
Esso,,,,,,no,,,,,,,2382794249,43.7094404,-79.5059386,Esso,,,,,,yes,,,POINT (-79.50593859999999 43.7094404)
Fas Gas,,,,,,,,,,,,,2390229788,43.6979729,-79.5021620,Fas Gas,,,,,,,,,POINT (-79.502162 43.6979729)
Esso,,,Toronto,,,,,,,,,66,2406460113,43.6933692,-79.4791123,Esso,,,,,,,Trethewey Drive,https://www.esso.ca/,POINT (-79.4791123 43.6933692)
Shell,,,,,,yes,,,,,,,2414002769,43.6372244,-79.5395312,Shell,,,,,,,,,POINT (-79.5395312 43.6372244)
Husky,,,,,,,,,,,,,2505462345,43.7829871,-79.4867373,Husky,,,,,,,,,POINT (-79.4867373 43.7829871)
Shell,,,,,,yes,,,,,24/7,,2510794539,43.8059559,-79.2779733,Shell,,,,,,,,,POINT (-79.2779733 43.8059559)
Petro-Canada,,,,,,,,,,,,,2525809699,43.7691384,-79.5209653,Petro-Canada,,,,,,,,,POINT (-79.5209653 43.7691384)
Husky,,,,,,,,,,,,,2533133447,43.6358195,-79.5326425,Husky,,,,,,,,,POINT (-79.53264249999999 43.6358195)
Shell,,,,,,,,,,,,,2535465076,43.6274352,-79.4990261,Shell,,,,,,,,,POINT (-79.49902609999999 43.6274352)
,,,,,,yes,,,,,,,2626688106,43.6604560,-79.3303536,Amco,,,,,,,,,POINT (-79.3303536 43.660456)
,,,,,,yes,,,,,24/7,,2653160508,43.7321704,-79.2889690,tru Value,,,,,,,,,POINT (-79.28896899999999 43.7321704)
Petro-Canada,,,,,,,,,,,,,2719412349,43.7227789,-79.5086504,Petro-Canada,,,,,,yes,,,POINT (-79.50865039999999 43.7227789)
Esso,,,,,,,,,,,,,2824600179,43.7392407,-79.5126065,Esso,,,,,,,,,POINT (-79.5126065 43.7392407)
Canadian Tire,,,,,,,,,,,,,2853061641,43.7352654,-79.2534938,Canadian Tire,,,,,,,,,POINT (-79.2534938 43.7352654)
,,,,,,,,,,,,,2887459899,43.6984477,-79.5110406,RaceTrac,,,,,,,,,POINT (-79.5110406 43.6984477)
Petro-Canada,,,,,,,,,,,,,2901436294,43.6601691,-79.5129249,Petro-Canada,,,,,,,,,POINT (-79.5129249 43.6601691)
Petro-Canada,,,Scarborough,,,,,,,,,1977,2921236614,43.7701243,-79.2821463,Petro-Canada,,,,,,,Kennedy Road,,POINT (-79.28214629999999 43.7701243)
Fas Gas,,,,,,yes,,,,,,,2928434022,43.7176682,-79.2939444,Fas Gas,,,,,,yes,,,POINT (-79.2939444 43.7176682)
Shell,,,,,,,,,,,,,3061000565,43.7521810,-79.4576101,Shell,,,,,,,,,POINT (-79.4576101 43.752181)
Shell,,,,,,,,,,,,,3116001977,43.6900250,-79.5764654,Shell,,,,,,,,,POINT (-79.5764654 43.690025)
Costco Gasoline,,,,,,,,,,,,,3297984570,43.7598306,-79.2964702,Costco Gasoline,,,,,,,,,POINT (-79.2964702 43.7598306)
Esso,,,,,,,,,,,,,3303403720,43.7786389,-79.3650611,Esso,,,,,,,,https://www.esso.ca/,POINT (-79.36506110000001 43.7786389)
Esso,,,,,,,,,,,,,3354815732,43.6813125,-79.3319451,Esso,,,,,,,,https://www.esso.ca/,POINT (-79.3319451 43.6813125)
RaceTrac,,,,,,yes,,,,,,,3364858031,43.6677146,-79.4901816,RaceTrac,,,,,,,,,POINT (-79.4901816 43.6677146)
,,,,,,yes,,,,,,,3425955425,43.7922139,-79.1563263,Global,,,,,,,,,POINT (-79.1563263 43.7922139)
Pioneer,,,,,,yes,,,,,,,3427043155,43.7450727,-79.2975180,Pioneer,,,,,,,,,POINT (-79.297518 43.7450727)
Petro-Canada,,,York,,,yes,,,,,,385,3427074388,43.6808391,-79.4755253,Petro-Canada,,,,M6N 3P7,,,Weston Road,,POINT (-79.4755253 43.6808391)
Mobil,,,,,,,,,,,,,3435117531,43.7082497,-79.5332765,Mobil,,,,,,,,,POINT (-79.5332765 43.7082497)
Shell,,,,,,no,,,,,,,3452333843,43.7024166,-79.4415218,Shell,,,,,,yes,,,POINT (-79.4415218 43.7024166)
,,,,,,,,,,,,,3648187421,43.7308724,-79.2263299,Autoplaza Gas,,,,,,,,,POINT (-79.2263299 43.7308724)
Esso,,,,,,,,,,,,,3743507963,43.7921609,-79.4452081,Esso,,,,,,,,https://www.esso.ca/,POINT (-79.4452081 43.7921609)
,,,,,,yes,,,,,,,3823655289,43.7155525,-79.5689024,Petro V-Plus,,,,,,,,,POINT (-79.5689024 43.7155525)
Pioneer,,,,,,yes,,,,,,,3843687022,43.7130211,-79.5677116,Pioneer,,,,,,,,,POINT (-79.5677116 43.7130211)
Canadian Tire,,,,,,,,,,,,,3843753496,43.7131277,-79.5668273,Canadian Tire,,,,,,,,,POINT (-79.5668273 43.7131277)
Petro-Canada,,,,,,,,,,,,,3843753497,43.7124848,-79.5653137,Petro-Canada,,,,,,,,,POINT (-79.5653137 43.7124848)
Shell,,,,,,,,,,,,,3942763594,43.6485005,-79.5493470,Shell,,,,,,,,,POINT (-79.549347 43.6485005)
Ultramar,,,,,,yes,,,,,,,3952010379,43.7525834,-79.5418356,Ultramar,,,,,,,,,POINT (-79.5418356 43.7525834)
Ultramar,,,,,,yes,,,,,,,4069812729,43.7361609,-79.2525466,Ultramar,,,,,,,,,POINT (-79.2525466 43.7361609)
,,,,,,yes,,,,,,,4227504189,43.7675867,-79.5581564,Pump,,,,,,,,,POINT (-79.5581564 43.7675867)
,,,,,,yes,,,,,24/7,,4227517105,43.7696867,-79.5477450,OLCO,,,,,,yes,,,POINT (-79.54774500000001 43.7696867)
Petro-Canada,,,,,,,,,,,,,4227518320,43.7712755,-79.5399348,Petro-Canada,,,,,,,,,POINT (-79.5399348 43.7712755)
,,,,,,,,,,,,,4245247559,43.6998603,-79.5027375,Petro V Plus,,,,,,,,,POINT (-79.50273749999999 43.6998603)
Esso,,,,,,yes,,,,,,,4278370108,43.7892498,-79.2373361,Esso,,,,,,yes,,,POINT (-79.23733609999999 43.7892498)
,,,,,,,,,,,,,4322029768,43.7372248,-79.5244775,Jiffy Gas Bar,,,,,,,,,POINT (-79.5244775 43.7372248)
,,,,,,,,,,,,,4333068689,43.7663425,-79.1903287,,,,,,,,,,POINT (-79.19032869999999 43.7663425)
Mobil,,,,,,,,,,,,,4407360291,43.6862410,-79.4825850,Mobil,,,,,,,,,POINT (-79.482585 43.686241)
Pioneer,,,,,,yes,,,,,,,4560695300,43.8240518,-79.2463320,Pioneer,,,,,,,,,POINT (-79.246332 43.8240518)
Canadian Tire,,,,,,,,,,,,,4868334879,43.6663505,-79.4645244,Canadian Tire,,,,,,,,,POINT (-79.4645244 43.6663505)
Esso,,,,,,,,,,,,,4884514821,43.7134022,-79.5824946,Esso,,,,,,,,,POINT (-79.5824946 43.7134022)
Petro-Canada,,,,,,,,,,,,,4948897194,43.7571004,-79.4899786,Petro-Canada,,,,,,,,,POINT (-79.4899786 43.7571004)
,,,,,,,,,,,,,5280584627,43.6499581,-79.4385324,,,,,,,,,,POINT (-79.4385324 43.6499581)
,,,Toronto,,,,,,,,,389,5361760991,43.7025817,-79.2659509,Global,,,+1-416-694-0972,M1K 1N3,,,Birchmount Road,,POINT (-79.26595090000001 43.7025817)
,,,,,,,,,,,,,6352773228,43.7558516,-79.5694369,A1 Petro Biz,,,,,,,,,POINT (-79.5694369 43.7558516)
,,,,,,,,,,,,,6415245496,43.6231375,-79.5391515,Petro-Pass,Petro Canada,,,,,,,,POINT (-79.5391515 43.6231375)
Esso,,,,,,,,,,,,,6594726533,43.7463247,-79.2306174,Esso,,,,,,,,,POINT (-79.2306174 43.7463247)
,,,,,,,,,,,,,6685670200,43.6608157,-79.3406291,Leslieville Pumps,,,,,,,,,POINT (-79.3406291 43.6608157)
Esso,,,,,,,,,,,,,7055897133,43.7379490,-79.2402636,Esso,,,,,,,,,POINT (-79.24026360000001 43.737949)
