Brand,City,Country,Email,Hours,House_Number,ID,Latitude,Longitude,Name,Phone Number,Postal_Code,Province,Street,Website,Wheelchair,geometry
Hasty Market,,,,,,372345623,43.6614376,-79.3806055,Hasty Market,,,,,http://www.hastymarketcorp.com/,yes,POINT (-79.3806055 43.6614376)
,Toronto,,,,491,372352555,43.6643617,-79.3678378,Corner Discount,+1-416-924-5155,,,Parliament Street,,yes,POINT (-79.3678378 43.6643617)
,Toronto,,,,401,372354116,43.6621099,-79.3668763,Jenny's Convenience,+1-416-923-8737,M5A 3A1,,Parliament Street,,yes,POINT (-79.3668763 43.6621099)
,,,,,,372374867,43.6727043,-79.3194275,Super Dave Convenience,,,,,,,POINT (-79.3194275 43.6727043)
,,,,Mo-Su 07:00-22:00,,372479244,43.6880195,-79.3008542,Main Square Smoke & Gift,,,,,,,POINT (-79.3008542 43.6880195)
,East York,,,,901,372934772,43.6939500,-79.3276494,?? Variety,,,,Coxwell Avenue,,,POINT (-79.3276494 43.69395)
,,,,,,373111394,43.6876259,-79.3531334,Logan Convenience,,,,,,no,POINT (-79.3531334 43.6876259)
,Toronto,,,,521A,373114859,43.6780930,-79.3483363,Lucky Spot,,,,Danforth Avenue,,,POINT (-79.3483363 43.678093)
,Toronto,,,,850,373116934,43.6805668,-79.3483163,Carlaw Convenience,,,,Carlaw Avenue,,,POINT (-79.34831629999999 43.6805668)
,East York,,,,923,373123737,43.6856874,-79.3472066,Everything Store,,,,Pape Avenue,,,POINT (-79.34720660000001 43.6856874)
,Scarborough,,,,3437,373162711,43.7137400,-79.2719939,Daisy Mart,,,,St Clair Avenue East,,,POINT (-79.2719939 43.71374)
,Scarborough,,,,3447,373162929,43.7138082,-79.2717082,Dollar Variety Smoke & Gift,,,,St Clair Avenue East,,,POINT (-79.27170820000001 43.7138082)
,Toronto,,,24/7,591,380027367,43.6709601,-79.3761330,Handy Variety,,,,Parliament Street,,,POINT (-79.376133 43.6709601)
,Toronto,,,24/7,236,380038285,43.6580999,-79.3712286,Sam's Food Store,+1-416-366-3554,M5A 1Z9,,Sherbourne Street,,,POINT (-79.37122859999999 43.6580999)
,,,,,,380038298,43.6584690,-79.3707352,Corner Mart,,,,,,,POINT (-79.3707352 43.658469)
,,,,,,380039760,43.6546820,-79.3692598,Moss Park Discount Store,,,,,,,POINT (-79.36925979999999 43.654682)
,,,,,,380039986,43.6530355,-79.3687953,Select Fine Food,,,,,,,POINT (-79.3687953 43.6530355)
,Toronto,,,,105,380040885,43.6493461,-79.3711435,Time Square Convenience,,,,Front Street East,,no,POINT (-79.3711435 43.6493461)
,Toronto,,,,79,380041240,43.6486739,-79.3728163,International News,,,,Front Street East,,,POINT (-79.3728163 43.6486739)
Shell Select,,,,,,382849930,43.7600612,-79.2258337,Shell Select,,,,,,,POINT (-79.2258337 43.7600612)
,,,,,,383562245,43.6755838,-79.5557779,Hasty Market,,,,,http://www.hastymarketcorp.com/,,POINT (-79.5557779 43.6755838)
,,,,,,383629884,43.6827116,-79.4911262,Daily Mart,,,,,,,POINT (-79.4911262 43.6827116)
,,,,,,383629887,43.6827071,-79.4900684,Lambton Convenience,,,,,,,POINT (-79.4900684 43.6827071)
,York,,,,2609,383629935,43.6901800,-79.4742834,Variety & Video,,,,Eglinton Avenue West,,,POINT (-79.4742834 43.69018)
,,,,,,385037626,43.6335786,-79.4314594,Dunn Milk,,,,,,,POINT (-79.43145939999999 43.6335786)
,,,,,,385624369,43.7549654,-79.2459255,Select,,,,,,,POINT (-79.2459255 43.7549654)
,,,,,,386420543,43.7698247,-79.3759031,Kitchen Food Fair,,,,,,,POINT (-79.3759031 43.7698247)
,,,,,,386420571,43.7697511,-79.3763181,Select,,,,,,,POINT (-79.37631810000001 43.7697511)
Esso,North York,,,,461,386776803,43.7661302,-79.3884837,Esso,,,,Sheppard Avenue East,https://www.esso.ca/,,POINT (-79.38848369999999 43.7661302)
Shell,North York,,,,2831,386776963,43.7664330,-79.3874714,Shell,,,,Bayview Avenue,,,POINT (-79.3874714 43.766433)
,East York,,,24/7,8,387790712,43.7049497,-79.3490031,Super Stop,,,,Thorncliffe Park Drive,,,POINT (-79.3490031 43.7049497)
,,,,,,387791577,43.7093010,-79.3336267,INS Market,,,,,https://www.7-eleven.com/,yes,POINT (-79.3336267 43.709301)
,North York,,,,1095,387792406,43.7368144,-79.3428913,Super Stop,,,,Don Mills Road,,,POINT (-79.34289130000001 43.7368144)
Circle K,North York,,,,2500,387793884,43.7752484,-79.3476922,Circle K,,,,Don Mills Road,,,POINT (-79.3476922 43.7752484)
,,,,,,388327957,43.6675460,-79.4004963,International News Plus,,,,,,no,POINT (-79.4004963 43.667546)
,,,,,,390351632,43.7416237,-79.3185051,Daily Convenience,,,,,,,POINT (-79.3185051 43.7416237)
7-Eleven,,,,,,391085661,43.6659120,-79.3875626,7-Eleven,,,,,https://www.7-eleven.com/,,POINT (-79.3875626 43.665912)
,,,,,,391166249,43.7880730,-79.3809231,Bayview Foods Variety,,,,,,,POINT (-79.3809231 43.788073)
,,,,,,391181072,43.7792133,-79.3639663,Nymark Convinience,,,,,,,POINT (-79.3639663 43.7792133)
,,,,"Mo-Su ""please add opening times""",,392145800,43.6940401,-79.3471202,"Easy ""N"" Shop",,,,,,,POINT (-79.34712020000001 43.6940401)
,,,,,,392145847,43.6935517,-79.3494892,Neon Mini Mart,,,,,,,POINT (-79.34948919999999 43.6935517)
,,,,,,392146043,43.6935348,-79.3500027,Keg Variety,,,,,,,POINT (-79.3500027 43.6935348)
,,,,,,394180407,43.6711178,-79.3847626,International News,,,,,,,POINT (-79.3847626 43.6711178)
,,,,,,400912561,43.6554541,-79.3656450,Cinema Ras Variety Store,,,,,,,POINT (-79.365645 43.6554541)
,,,,Mo-Su,,400912573,43.6549199,-79.3681279,Mimi Variety,,,,,,,POINT (-79.3681279 43.6549199)
,,,,,,400914271,43.6530039,-79.3759266,Crown Variety & Snack,,,,,,,POINT (-79.3759266 43.6530039)
,,,,,,400916039,43.6527600,-79.3787151,Gateway Newsstands,,,,,,,POINT (-79.37871509999999 43.65276)
,,,,,,401511716,43.6809554,-79.3112068,Yes Food Fair,,,,,,,POINT (-79.31120679999999 43.6809554)
Esso,,,,24/7,,409158397,43.7185832,-79.2833994,Esso,,,,,https://www.esso.ca/,,POINT (-79.28339939999999 43.7185832)
Circle K,,,,,,410376723,43.7233135,-79.5599571,Circle K,,,,,http://www.macs.ca/,,POINT (-79.55995710000001 43.7233135)
,,,,,,410798660,43.7607635,-79.4992241,SuperStop,,,,,,,POINT (-79.49922410000001 43.7607635)
Esso,,,,,,410799730,43.7682406,-79.4672558,Esso,,,,,https://www.esso.ca/,,POINT (-79.4672558 43.7682406)
Hasty Market,,,,24/7,,410801675,43.6561439,-79.3899985,Hasty Market,,,,,http://www.hastymarketcorp.com/,,POINT (-79.3899985 43.6561439)
,,,,,,410999222,43.6753661,-79.4231721,New Market Convenience,,,,,,,POINT (-79.4231721 43.6753661)
,Toronto,,,Mo-Fr 09:00-22:00; Sa 10:00-22:00; Su 11:00-22:00,120,412351499,43.6525005,-79.3729236,French Quarter Convenience & Grocery,,,,Lombard Street,,,POINT (-79.37292359999999 43.6525005)
On the Run,,,,,,412398383,43.6568376,-79.3767641,On the Run,,,,,,,POINT (-79.3767641 43.6568376)
,,,,,,416557179,43.6885764,-79.3259731,Daisy Mart,,,,,,,POINT (-79.3259731 43.6885764)
,,,,,,417231068,43.7026267,-79.5042599,Vinayaka Convenience,,,,,,,POINT (-79.50425989999999 43.7026267)
,,,,,,420539142,43.6801708,-79.3374380,7-Eleven,,,,,https://www.7-eleven.com/,,POINT (-79.33743800000001 43.6801708)
,,,,,,420549579,43.6399876,-79.3811460,International News,,,,,,,POINT (-79.381146 43.6399876)
,,,,24/7,,427687187,43.7699780,-79.2607017,Mac's,,,,,http://www.macs.ca/,,POINT (-79.2607017 43.769978)
Circle K,,,,,,429659328,43.8078818,-79.2201848,Circle K,,,,,,,POINT (-79.2201848 43.8078818)
,Scarborough,,,,462,433542283,43.7076736,-79.2688982,Sam's Milk & Variety Market,,M1K 1N8,,Birchmount Road,,no,POINT (-79.2688982 43.7076736)
,,,,,,436015129,43.8347198,-79.2569317,On the Run,,,,,,,POINT (-79.2569317 43.8347198)
,,,,,,439496097,43.6623853,-79.3511507,H-P Variety Store,,,,,,,POINT (-79.35115070000001 43.6623853)
,,,,,,439496099,43.6621720,-79.3529926,Don's Milk,,,,,,,POINT (-79.35299259999999 43.662172)
,,,,,,474956791,43.7799742,-79.1382582,,,,,,,,POINT (-79.1382582 43.7799742)
,,,,,,474958376,43.8017820,-79.1991889,On the Run,,,,,,,POINT (-79.1991889 43.801782)
,,,,,,474961234,43.6778180,-79.4428693,7-Eleven,,,,,https://www.7-eleven.com/,yes,POINT (-79.4428693 43.677818)
,,,,,,474961237,43.6780486,-79.4433469,Dufferin Smoke & Variety,,,,,,,POINT (-79.44334689999999 43.6780486)
Hasty Market,Toronto,,,,129,491912595,43.6423835,-79.3832331,Hasty Market,,,,Bremner Boulevard,http://www.hastymarketcorp.com/,,POINT (-79.3832331 43.6423835)
,,,,,,495885689,43.7467569,-79.1997627,,,,,,,,POINT (-79.19976269999999 43.7467569)
,,,,,,501985555,43.6792956,-79.4472298,Lily's Variety,,,,,,,POINT (-79.4472298 43.6792956)
,,,,,,502049906,43.6779891,-79.4436180,,,,,,,,POINT (-79.443618 43.6779891)
,,,,,,502090184,43.6811691,-79.4290850,,,,,,,,POINT (-79.429085 43.6811691)
,,,,,,502704876,43.6818555,-79.4256925,,,,,,,,POINT (-79.4256925 43.6818555)
,,,,,,502704877,43.6815493,-79.4255177,,,,,,,,POINT (-79.4255177 43.6815493)
,,,,,,502704915,43.6764412,-79.4489748,,,,,,,,POINT (-79.4489748 43.6764412)
,,,,,,502704916,43.6768822,-79.4485614,,,,,,,,POINT (-79.4485614 43.6768822)
,,,,,,502717433,43.6736101,-79.4631955,Peter Pan 'K' Convenience,,,,,,,POINT (-79.4631955 43.6736101)
,,,,,,502717449,43.6743145,-79.4601813,,,,,,,,POINT (-79.4601813 43.6743145)
,,,,,,502717451,43.6740789,-79.4597201,St. Lucia Variety,,,,,,,POINT (-79.4597201 43.6740789)
,,,,,,502717452,43.6745542,-79.4591561,,,,,,,,POINT (-79.4591561 43.6745542)
,,,,,,502717453,43.6746750,-79.4586341,,,,,,,,POINT (-79.4586341 43.674675)
,,,,,,502717470,43.6745473,-79.4573271,,,,,,,,POINT (-79.4573271 43.6745473)
,Toronto,,,,78,502720111,43.6874677,-79.3979605,Mac's,+1-416-324-9844,M4V 1M7,,St. Clair Avenue West,http://www.macs.ca/,,POINT (-79.3979605 43.6874677)
,,,,,,502815979,43.6701249,-79.3465182,,,,,,,,POINT (-79.34651820000001 43.6701249)
,,,,,,502815981,43.6703778,-79.3463435,Alpha Variety,,,,,,,POINT (-79.3463435 43.6703778)
,,,,,,502827769,43.6743615,-79.3569598,Mary's Variety & Grocery Store,,,,,,,POINT (-79.3569598 43.6743615)
,,,,,,512544241,43.6634732,-79.3287983,Leslieville Variety,,,,,,,POINT (-79.3287983 43.6634732)
,,,,,,513610967,43.6676215,-79.3121411,Major Convenience,,,,,,,POINT (-79.31214110000001 43.6676215)
,,,,,,513610969,43.6675664,-79.3119936,You and Me Smoke & Gift,,,,,,,POINT (-79.31199359999999 43.6675664)
,Toronto,,,24/7,252,513952391,43.6499621,-79.3913182,Gardenview Convenience,+1-416-593-2560,,,Queen Street West,,,POINT (-79.3913182 43.6499621)
,,,,,,517227447,43.7317309,-79.4041307,Alex Convenience,,,,Yonge Street,,,POINT (-79.4041307 43.7317309)
,,,,,,518304248,43.6898869,-79.3201736,Glebe Mart,,,,,,,POINT (-79.3201736 43.6898869)
,East York,,,,167,518304250,43.6907366,-79.3173750,Woodmount Variety,,,,Woodmount Avenue,,,POINT (-79.317375 43.6907366)
,,,,,,524128801,43.7359116,-79.4424510,Daisy Mart,,,,,,,POINT (-79.44245100000001 43.7359116)
,Toronto,,,,109,524137937,43.6538696,-79.3910647,Grange Green Farms,,,,McCaul Street,,,POINT (-79.3910647 43.6538696)
,,,,,,527025581,43.6469107,-79.4305654,Iren's Grocery,,,,,,,POINT (-79.43056540000001 43.6469107)
,Toronto,,,,329,530778589,43.6491110,-79.4499597,Master Supermarket,,,,Roncesvalles Avenue,,,POINT (-79.44995969999999 43.649111)
,,,,,,530781891,43.6473224,-79.4492612,Joe's Variety and Gift Centre,,,,,,,POINT (-79.4492612 43.6473224)
,Toronto,,,09:00-23:00,211,530784881,43.6456026,-79.4485970,Jac's Milk,,,,Roncesvalles Avenue,,,POINT (-79.44859700000001 43.6456026)
,,,,,,530818840,43.6411706,-79.4469136,October Convenience,,,,,,,POINT (-79.4469136 43.6411706)
,,,,,,540283039,43.7679241,-79.4010595,Hollywood Convenience,,,,,,,POINT (-79.4010595 43.7679241)
,North York,,,24/7,12,540294865,43.7577064,-79.4089129,Rabba,,M2N 7K6,,Harrison Garden Boulevard,,,POINT (-79.4089129 43.7577064)
,,,,,,540897842,43.7463457,-79.2098140,Daisy Mart,,,,,,,POINT (-79.20981399999999 43.7463457)
,,,,,,540923958,43.7715761,-79.2091193,,,,,,,,POINT (-79.2091193 43.7715761)
,,,,,,541617929,43.7581070,-79.2242882,Afghan Supermarket,,,,,,,POINT (-79.2242882 43.758107)
,,,,24/7,,542005024,43.7247840,-79.2313409,Circle K,,,,,http://www.macs.ca/,,POINT (-79.23134090000001 43.724784)
